"","pred_oot","fraud","same_zip_1#x","same_zip_5#x","same_ssn_5#x","same_ssn_3#x","same_nameDOB_5#x","same_ssn_diff_phone_3#x","same_ssn_diff_phone_5#x","same_ssn_diff_phone_7#x","same_ssn_diff_address_5#x","same_ssn_diff_address_7#x","same_ssn_diff_dob_14#x","same_ssn_diff_zip_30#x","same_ssn_diff_zip_14#x","same_ssn_diff_zip_7#x","same_zip_diff_address_1#x","same_zip_diff_ssn_1#x","same_phone_diff_zip_3#x","same_phone_diff_zip_5#x","same_phone_diff_dob_7#x","same_phone_diff_dob_1#x","same_phone_diff_ssn_3#x"
"1",0.0914563051397874,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.705925161705214,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,1568,1089,0,856
"3",0.0916739610534354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"4",0.0913911817938573,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"5",0.0910322840232187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"6",0.0917557808157075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,1
"7",0.0963100812100823,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,1,2
"8",0.0925982295471262,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2
"9",0.090809328280135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,1
"10",0.0916032433183649,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1
"11",0.0916032433183649,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1
"12",0.0916032433183649,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1
"13",0.0915922474546609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1
"14",0.0931691979517713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3
